title,type,quotes,italic,capitalization_note,diacritics_note,abbreviation,notes
"Категория шастр как часть (некоторые упанишады)",rule,no,no,"часть категории — со строчной",,,"«некоторые упанишады», «эта пурана», «в разных пуранах» — со строчной, без курсива и кавычек"
"Родовое слово после дефиса в названии",rule,yes,no,"родовое слово после дефиса со строчной",,,"«Риг-веда», «Падма-пурана» — со строчной, без курсива, всё название в кавычках. Курсив и диакритика только при объяснении значения (итихаса = …) и в транслитерации"
"Маха-пурана",part,no,no,"первое слово с прописной",,,"Без курсива, без кавычек, первое слово с прописной"
"Брахманы",scripture,no,no,"с прописной",,,"Раздел Вед, прямым без кавычек. Родительный падеж мн. ч. — Брахманов"
"Веды/Веда",scripture,no,no,"с прописной как класс; после дефиса со строчной",,,"Отдельное слово (класс произведений) — с прописной прямым без кавычек, ед. и мн. ч. по англ. тексту. Часть названия — после дефиса со строчной прямым: «Риг-веда»"
"Панчаратры",scripture,,,,,,"Упомянуто в списке категорий (без подробного правила)"
"Писания",rule,no,,"«писания» всегда со строчной",,,"«Писание» с прописной — это Библия"
"сандарбха",part,,,,,,"Отдельное слово — курсивом: «семь сандарбх». Часть названия — прямым: «Кришна-сандарбха»"
"смрити",scripture,,,,,,"Отдельное слово — курсивом. Часть названия — прямым: «Ману-смрити». Слово женского рода"
"Упанишады",scripture,no,no,"ед. ч. со строчной прямым; часть названия после дефиса со строчной",,,"«эта упанишада» — со строчной прямым. Часть названия после дефиса: «Шветашватара-упанишад». Род. падеж мн. ч. — «Упанишад». Названия со словом «упанишад» не склоняются. (В источнике помечен открытый вопрос о форме ед. ч. и роде.)"
"шастры",scripture,,yes,,,,"Всегда курсив"
"шрути",scripture,,,,,,"Не часть названия — курсивом: «В шрути-мантрах…». Часть названия — прямым: «В «Мадхьяндинаяна-шрути» говорится…»"
"Кавычки: класс произведений",rule,no,,,,,"Когда речь о целом классе — кавычки не нужны: «над наставлениями Вед и Упанишад»"
"Кавычки: конкретное произведение",rule,yes,,,,,"Название конкретного произведения берется в кавычки"
"Кавычки: ссылки на источник",rule,no,,,,,"Кавычки не требуются в названиях книг в ссылках на источник цитаты"
"Кавычки: части книги",rule,no,,,,,"Не нужны в названиях частей книги: Ади-лила, Сабха-парва «Махабхараты», Уттара-кханда «Падма-пураны»"
"Склонение составных названий",rule,,,,,,"В составных названиях склоняется последнее слово: «в «Брахма-вайварта-пуране»». Исключение — упанишады, не склоняются: «в «Ишопанишад» сказано…»"
"Сокращения: кавычки",rule,no,,,,,"В сокращениях названий кавычки не ставятся (в ссылках на источник цитаты)"
"«Бхагавад-гита»",scripture,yes,no,,,Б.-г.,"Сокращение Б.-г. в ссылках без кавычек"
"«Бхакти-расамрита-синдху»",scripture,yes,no,,,Б.-р.-с.,"Сокращение Б.-р.-с. в ссылках без кавычек"
"«Брахма-самхита»",scripture,yes,no,,,Б.-с.,"Сокращение Б.-с. в ссылках без кавычек"
"«Шримад-Бхагаватам»",scripture,yes,no,,,Бхаг.,"Сокращение Бхаг. в ссылках без кавычек"
"«Чайтанья-чаритамрита»",scripture,yes,no,,,Ч.-ч.,"Сокращение Ч.-ч. в ссылках без кавычек"
"«Ади-Вараха-пурана»",scripture,yes,no,,,,
"«Адхьятма-Рамаяна»",scripture,yes,no,,,,
"«Айтарея-упанишад»",scripture,yes,no,,,,"Не склоняется (упанишада)"
"«Амара-коша»",book,yes,no,,,,
"«Анубхашья»",book,yes,no,,,,
"«Атхарва-веда»",scripture,yes,no,,,,
"«Атхарва-веда-самхита»",scripture,yes,no,,,,
"«Аюр-веда»",scripture,yes,no,"с прописной",,,"Всегда прямым с прописной и через дефис"
"«Бадараяни-веданта-сутра»",scripture,yes,no,,,,
"«Брахма-вайварта-пурана»",scripture,yes,no,,,,
"«Брахма-сутра» / «Брахма-сутры»",scripture,yes,no,,,,"Встречается в ед. и мн. числе"
"«Брихад-араньяка-упанишад»",scripture,yes,no,,,,"Не склоняется (упанишада)"
"«Брихад-Бхагаватамрита»",book,yes,no,"второе слово с прописной",,,
"«Брихад-Вамана-пурана»",scripture,yes,no,,,,
"«Брихад-Вишну-пурана»",scripture,yes,no,,,,
"«Брихад-Вишну-сахасранама-стотра»",book,yes,no,,,,
"«Брихад-Гаутамия-тантра»",scripture,yes,no,,,,
"«Брихадж-джатака»",book,yes,no,,,,
"«Брихан-Нарадия-пурана»",scripture,yes,no,"имя собственное с прописной после дефиса",,,
"«Брихат Шри Шри Радха-Кришна-ганоддеша-дипика»",book,yes,no,,,,
"«Бхагавад-гита-бхашья»",book,yes,no,,,,
"«Бхагавад-гита как она есть»",book,yes,no,,,,
"«Шримад Бхагавад-гита парвадхьяя»",book,yes,no,,,,
"«Бхагавата-веданта-сутра»",scripture,yes,no,,,,
"«Бхагаватам»",scripture,yes,no,,,,"Слово мужского рода"
"«Шримад-Бхагаватам» (полное название)",scripture,yes,no,,,Бхаг.,
"«Бхагавата-махатмья»",book,yes,no,,,,
"«Бхагаватамрита»",book,yes,no,,,,
"«Шримад-Бхагавата-пурана» / «Шримад Бхагавата-пурана»",scripture,yes,no,,,,"Встречается с дефисом и без после «Шримад»"
"«Бхагават-сандарбха»",book,yes,no,,,,"Вторая сандарбха «Бхагавата-сандарбхи»"
"«Бхагавата-сандарбха»",book,yes,no,,,,"Это вся «Шат-сандарбха»"
"«Бхаджана-рахасья» / «Шри Бхаджана-рахасья»",book,yes,no,,,,
"«Бхакти-расамрита-синдху» (полное название)",scripture,yes,no,,,Б.-р.-с.,
"«Бхакти-сандарбха»",book,yes,no,,,,
"«Бхрамара-гита»",book,yes,no,,,,
"«Бхригу-самхита»",scripture,yes,no,,,,
"«Шри-Валлабха-дигвиджая»",book,yes,no,,,,
"«Веданта-сутра» / «Веданта-сутры»",scripture,yes,no,,,,"Встречается в ед. и мн. числе"
"«Ведартха-санграха»",book,yes,no,,,,
"«Видагдха-Мадхава»",book,yes,no,,,,
"«Виласа-кусуманджали»",book,yes,no,,,,
"«Вишва-коша»",book,yes,no,,,,
"«Вишва-пракаша»",book,yes,no,,,,
"«Вишну-дхармоттара»",scripture,yes,no,,,,
"«Вишну-пурана»",scripture,yes,no,,,,
"«Вишну-сахасра-нама»",book,yes,no,,,,
"«Гаудия-бхашья»",book,yes,no,,,,
"«Гаура-ганоддеша-дипика»",book,yes,no,,,,
"«Гаура-кришнодая»",book,yes,no,,,,
"«Гаура-чандродая»",book,yes,no,,,,
"«Гаутамия-тантра»",scripture,yes,no,,,,
"«Гита-бхашья»",book,yes,no,,,,
"«Гита-Говинда»",book,yes,no,"имя собственное (Говинда) с прописной после дефиса",,,
"«Говинда-бхашья»",book,yes,no,,,,
"«Гурв-аштака»",book,yes,no,,,,
"«Дамодараштака»",book,yes,no,,,,
"«Джаганнатха-Валлабха-натака»",book,yes,no,,,,
"«Итихаса-самуччая»",book,yes,no,,,,
"«Ишопанишад»",scripture,yes,no,,,,"Не склоняется: «в «Ишопанишад» сказано…»"
"«Кали-сантарана-упанишад»",scripture,yes,no,,,,"Не склоняется (упанишада)"
"«Кишкиндхья»",book,yes,no,,,,
"«Кришна-бхаванамрита»",book,yes,no,,,,
"«Кхаманикья»",book,yes,no,,,,
"«Кханара-вачана»",book,yes,no,,,,
"«Лагху-Бхагаватамрита»",book,yes,no,"второе слово с прописной",,,
"«Лалита-Мадхава»",book,yes,no,,,,
"«Маха-Вараха-пурана»",scripture,yes,no,,,,
"«Мритьюнджая-тантра»",scripture,yes,no,,,,
"«(Шри) Нарада-панчаратра»",scripture,yes,no,,,,"«Шри» в скобках — по англ. тексту"
"«Пратхама-Чайтанья-аштака»",book,yes,no,,,,
"«Пуруша-веданта-сутра»",scripture,yes,no,,,,
"«Радха-Кришна-ганоддеша-дипика»",book,yes,no,,,,
"«Риг-веда»",scripture,yes,no,"родовое «веда» после дефиса со строчной",,,
"«Риг-веда-самхита»",scripture,yes,no,,,,
"«Сама-веда»",scripture,yes,no,,,,
"«Санат-Кумара-Самхита»",scripture,yes,no,,,,
"«Сангита-Дамодара»",book,yes,no,,,,
"«Сангита-Мадхава»",book,yes,no,,,,
"«Шри Санкалпа-калпаврикша»",book,yes,no,,,,
"«Санкшепа-арчана-паддхати»",book,yes,no,,,,
"«Става-мала»",book,yes,no,,,,
"«Сушлока-шатака»",book,yes,no,,,,
"«Тайттирия-упанишад»",scripture,yes,no,,,,"Не склоняется (упанишада)"
"«Тантра-бхагавата»",scripture,yes,no,,,,
"«Удбхата-чандрика»",book,yes,no,,,,
"«Уддхава-сандеша»",book,yes,no,,,,
"«Уджвала-ниламани»",book,yes,no,,,,
"«Уттара-Рама-чарита»",book,yes,no,,,,
"«Хари-бхакти-судходая»",book,yes,no,,,,"Не «судходайя»"
"«Хари-вамша»",scripture,yes,no,,,,"Через дефис, даже если в англ. тексте слитно"
"«Хари-намамрита-вьякарана»",book,yes,no,,,,
"«Хаяширшия-шри-Нараяна-вьюха-става»",book,yes,no,,,,
"«Хитопадеша»",book,yes,no,,,,
"«Чайтанья-аштака»",book,yes,no,,,,
"«(Шри) Чайтанья-бхагавата»",book,yes,no,,,,"«Шри» в скобках — по англ. тексту"
"«Чайтанья-чандрамрита»",book,yes,no,,,,
"«Шри Чайтанья-чандродая»",book,yes,no,,,,
"«Шри Чайтанья-чандродая-натака»",book,yes,no,,,,
"«Чайтанья-чарита-кавья»",book,yes,no,,,,
"«Чайтанья-чарита-маха-кавья»",book,yes,no,,,,
"«Чайтанья-чаритамрита» (полное название)",scripture,yes,no,,,Ч.-ч.,
"«Чхандогья-упанишад»",scripture,yes,no,,,,"Не склоняется (упанишада)"
"«Шад-Госвами-аштака»",book,yes,no,,,,
"«Шакха-нирная»",book,yes,no,,,,
"«Шат-сандарбха»",book,yes,no,,,,"Всегда в ед. числе, даже если в англ. тексте мн. ч. (не «Шат-сандарбхи»)"
"«Яджур-веда»",scripture,yes,no,,,,
"Ади-лила",part,no,no,,,,"Часть книги («Шри Чайтанья-чаритамриты»). Прямым, без кавычек, без курсива"
"Сабха-парва",part,no,no,,,,"Часть «Махабхараты». Прямым, без кавычек, без курсива"
"Уттара-кханда",part,no,no,,,,"Часть «Падма-пураны». Прямым, без кавычек, без курсива"
"«Махабхарата»",scripture,yes,no,,,,"Упомянута через свою часть Сабха-парву"
"«Падма-пурана»",scripture,yes,no,,,,"Упомянута через свою часть Уттара-кханду; пример родового слова после дефиса"
