lemma,observed_forms,total_freq,sources,in_glossary,note
тилак,тилак|тилака|тилакой|тилаку,6,Вамшидаса; Воспоминания; ШЧМ,no,Clay marking; always italic. New lemma.
туласи,туласи,5,Вамшидаса; ШЧМ,no,Sacred plant; duplicate ref above.
чатурмасья,чатурмасья|чатурмасьи,3,ШЧМ,no,Four-month period; italic. New lemma.
шастра,шастры|шастр|шастрах,4,Воспоминания; ШЧМ,yes,Already glossary lemma.
шлока,шлоки|шлок,3,Воспоминания,yes,Already glossary lemma.
шраддха,шраддха,2,ШЧМ,no,Rite for ancestors; italic. New lemma.
экадаши,экадаши,2,ШЧМ,yes,Already glossary lemma.
антаранга,антаранга,2,Вамшидаса,no,Internal energy; conditional adjectival use; reference only.
бахиранга,бахиранга,2,Вамшидаса,no,External energy; conditional adjectival use; reference only.
бахирваса,бахирвасу|бахирваса,3,Вамшидаса,no,Upper cloth; reference only.
гхат,гхат|гхате,4,Вамшидаса,no,Riverbank steps; always italic. New lemma.
кантха,кантха,2,Вамшидаса,no,Patchwork quilt; reference only.
каранга,каранга,2,Вамшидаса,no,Water pot; reference only.
каупина,каупина|каупин|каупину,4,Вамшидаса,no,Loincloth; reference only.
кичри,кичри,2,Вамшидаса,no,Dish; reference only.
парамахамса,парамахамса|парамахамсами,2,Вамшидаса,no,Topmost devotee; reference only (often before names).
панчавати,панчавати,4,Вамшидаса,no,Sacred grove; place-like; reference only.
сампрадая,сампрадае|сампрадаи|сампрадай|сампрадайе|сампрадайям|сампрадаях,7,Вамшидаса; Воспоминания; ШЧМ,yes,Already glossary lemma.
санодия-брахман,санодия|санодия-брахман|санодия-брахманам,4,ШЧМ,yes,Already glossary lemma (санория-брахман).
сахаджия,сахаджией|сахаджии|сахаджиями,3,Вамшидаса; Воспоминания,no,Apasampradaya sect-follower; reference only.
шудра,шудр|шудрами,3,Вамшидаса; ШЧМ,no,Varna term; reference only.
