name,category,capitalization_note,hyphenation_note,italic_note,declension_note,notes
Анджана,indian_geographic,,,,,
Анийор,indian_geographic,,,,,"Не «Аньйор»."
Аннакутаграма,indian_geographic,,,,,
Антардвипа,indian_geographic,,,,,
Арайла,indian_geographic,,,,,"Также: Арайлаграма."
Арайлаграма,indian_geographic,,,,,
Аритграма,indian_geographic,,,,,
Ариштаграма,indian_geographic,,,,,
Ахаммада-Нагар,indian_geographic,,Через дефис,,,
Аховала-Нрисимха,indian_geographic,,Через дефис,,,
Бадарикашрам,indian_geographic,,,,,
Бадаринараяна,indian_geographic,,,,,
Бакла-Чандрадвипа,indian_geographic,,Через дефис,,,
Балешвар,indian_geographic,,,,,
Баттилла-Гунду,indian_geographic,,Через дефис,,,
Бауддхастхана,indian_geographic,,,,,
Брахмагири,indian_geographic,,Слитно,,,
Брахма-Кунда,indian_geographic,,Через дефис,,,
Брахма-Храда,indian_geographic,,Через дефис,,,
Брихадван,indian_geographic,,,,,
Бурдван,indian_geographic,,,,,
Бхаванипур,indian_geographic,,,,,
Бхадраван,indian_geographic,,,,,
Бхандираван,indian_geographic,,,,,
Бхарата-Варша (индийское),indian_geographic,,Через дефис,,,
Бхутешвара,indian_geographic,,,,,
Вагнапада,indian_geographic,,,,,
Вайдьянатха-дхама,indian_geographic,«дхама» со строчной,Через дефис,Прямым,,
Вайтарани,indian_geographic,,,,,
Валлабхапур,indian_geographic,,,,,
Вамшивата,indian_geographic,,,,,
Варанаси,indian_geographic,,,,,
Вараха-Нади,indian_geographic,,Через дефис,,,
Вата-Свами,indian_geographic,,Через дефис,,,
Ведавана,indian_geographic,,,,,
Ведагири,indian_geographic,,Слитно,,,
Венката-Кшетра,indian_geographic,,Через дефис,,,
Венкатачала,indian_geographic,,,,,
Виджаянагар,indian_geographic,,,,,
Виманагири,indian_geographic,,,,,
Виндхья,indian_geographic,,,,,
Вираджа,indian_geographic,,,,,"Также: Вираджа-Нади."
Вираджа-Нади,indian_geographic,,Через дефис,,,
Вираджакшетра,indian_geographic,,,,,
Вишну-Канчи,indian_geographic,,Через дефис,,,
Вишнумангала,indian_geographic,,,,,
Врадж,indian_geographic,,,,,"Не «Враджа»."
Враджабхуми,indian_geographic,,,,,"Слово женского рода."
Враджа-дхама,indian_geographic,«дхама» со строчной,Через дефис,Прямым,,
Враджапур,indian_geographic,,,,,
Вриддхакаши,indian_geographic,,,,,
Вриддхакола,indian_geographic,,,,,
Вриддхачалам,indian_geographic,,,,,
Вриндаван,indian_geographic,,,,,"Также: Шри Вриндаван."
Шри Вриндаван,indian_geographic,,Через пробел,,,
Вриндавана-дхама,indian_geographic,«дхама» со строчной,Через дефис,Прямым,,
Гадакхали,indian_geographic,,,,,
Гаджахвая-Хастинапур,indian_geographic,,Через дефис,,,
Гаджендра-Мокшана,indian_geographic,,Через дефис,,,
Гаешапура,indian_geographic,,,,,
Ганга-Прадеша,indian_geographic,,Через дефис,,,
Гангапур,indian_geographic,,,,,
Гандхамадана,indian_geographic,,,,,
Гантхули,indian_geographic,,,,,"Не «Гантули»."
Гарбходака,indian_geographic,,,,,"«на дне океана Гарбходака»."
Гаудадеша,indian_geographic,,,,,
Гаудапур,indian_geographic,,,,,
Гаутами-Ганга,indian_geographic,,Через дефис,,,
Гая,indian_geographic,,,,,"Не «Гайя»."
Гималайские горы,indian_geographic,Первое слово с прописной,,,,
Гиривраджа,indian_geographic,,,,,
Говардхана,indian_geographic,,,,"«увидев Говардхану»; но «холм Говардхана» не склоняется: «поднял холм Говардхана», «поклонение холму Говардхана»",
Говинда-Кунда,indian_geographic,,Через дефис,,,
Годавари,indian_geographic,,,,,
Гокула Вриндавана,indian_geographic,Оба слова с прописной,Через пробел,,"«в Гокуле Вриндаване»",
Гокуламахаван,indian_geographic,,,,,
Голока Вриндавана-дхама,indian_geographic,«дхама» со строчной,"Голока Вриндавана через пробел; дхама через дефис",Прямым,"«Голокой Вриндавана-дхамой»",
Гопалапур,indian_geographic,,,,,
Го-Самаджа,indian_geographic,,Через дефис,,,
Гундича-Пури,indian_geographic,,Через дефис,,,"«из храма Гундича-Пури»."
Гхаты,indian_geographic,,,,,
Дарбханга,indian_geographic,,,,,
Дашашвамедха-гхат,indian_geographic,«гхат» со строчной,Через дефис,Прямым,,"Перенос: «Даша-швамедха» нельзя; можно «Дашашва-медха» или «Даша-Ашвамедха»."
Двадашадитья,indian_geographic,,,,,
Дваракский залив,indian_geographic,Первое слово с прописной,,,,
Декан,indian_geographic,,,,,"Не «Деккан»."
Дели,indian_geographic,,,,,"Слово мужского рода."
Джаганнатха-Кшетра,indian_geographic,,Через дефис,,,
Джаганнатха-Пури,indian_geographic,,Через дефис,,,
Джамбудвипа,indian_geographic,,,,,
Джанакидевипур,indian_geographic,,,,,
Джанкадейпур,indian_geographic,,,,,
Джессор,indian_geographic,,,,,
Джияда-Нрисимха,indian_geographic,,Через дефис,,,
Джхаматапур,indian_geographic,,,,,
Джханси,indian_geographic,,,,,
Джхарикханда,indian_geographic,,,,,
Джхикарагачха,indian_geographic,,,,,
Диргха-Вишну,indian_geographic,,Через дефис,,,
Догачхия,indian_geographic,,,,,
Дравидадеша,indian_geographic,,,,,
Дхарвад,indian_geographic,,,,,
Дхенканала,indian_geographic,,,,,
Дхундирама-тиртха,indian_geographic,«тиртха» со строчной,Через дефис,Прямым,Склоняется только вторая часть,
Имлитала,indian_geographic,,,,,
Индийский субконтинент,indian_geographic,Первое слово с прописной,,,,
Кайласа,indian_geographic,,,,,"Также: Кайласа-Парвата."
Кайласа-Парвата,indian_geographic,,Через дефис,,,
Какунрападху,indian_geographic,,,,,
Калапаграма,indian_geographic,,,,,
Калахастипур,indian_geographic,,,,,
Калия-Даха,indian_geographic,,Через дефис,,,
Калия-Храда,indian_geographic,,Через дефис,,,
Камакоштхи-Пури,indian_geographic,,Через дефис,,,
Канай-Наташала,indian_geographic,,Через дефис,,Первое слово не склоняется,
Канаудж,indian_geographic,,,,,
Канакхала-тиртха,indian_geographic,«тиртха» со строчной,Через дефис,Прямым,Склоняется только вторая часть,
Канкарабада,indian_geographic,,,,,
Канчанапалли,indian_geographic,,,,,
Канчипурам,indian_geographic,,,,,
Каньякубджа,indian_geographic,,,,,
Канья-Кумари,indian_geographic,,Через дефис,,,
Карана,indian_geographic,,,,,
Катака,indian_geographic,,,,,"Исправлять на «Каттак»."
Каттак,indian_geographic,,,,,"Правильная форма для «Катака»."
Катхвар,indian_geographic,,,,,
Качнапада,indian_geographic,,,,,
Кедаранатх,indian_geographic,,,,,
Кекая,indian_geographic,,,,,"Также: Кекаядеша."
Кекаядеша,indian_geographic,,,,,
Киянджхада,indian_geographic,,,,,
Кола-Амада,indian_geographic,,Через дефис,,,
Колагхата,indian_geographic,,,,,
Коладвипа,indian_geographic,,,,,
Коладвипа-Парватакьянанда,indian_geographic,,Через дефис,,,
Колапур,indian_geographic,,,,,
Колера-Ганджа,indian_geographic,,Через дефис,,,
Колера-Даха,indian_geographic,,Через дефис,,,
Коморин,indian_geographic,,,,,"Мыс."
Кошала,indian_geographic,,,,,
Кришна-Ганга,indian_geographic,,Через дефис,,,
Кришнапура,indian_geographic,,,,,
Кубджа-Купа,indian_geographic,,Через дефис,,,
Куддалур,indian_geographic,,,,,
Кулинаграма,indian_geographic,,,,,
Кулия,indian_geographic,,,,"«жил в Кулии», «не имеет к настоящей Кулии никакого отношения»",
Кулияграма,indian_geographic,,,,,
Кулиянагар,indian_geographic,,Слитно,,,
Кулияра-Пата,indian_geographic,,Через дефис,,,
Кумаранагара,indian_geographic,,,,,
Кумарахатта,indian_geographic,,,,,
Кумбхакарна-Капала,indian_geographic,,Через дефис,,,
Кумбхаконам,indian_geographic,,,,,
Курмакшетра,indian_geographic,,,,,
Курмастхана,indian_geographic,,,,,
Курмачала,indian_geographic,,,,,
Курукшетра,indian_geographic,,,,,
Кхадираван,indian_geographic,,,,,
Кхалиджули,indian_geographic,,,,,
Кханакула,indian_geographic,,,,,
лес Кхандава,indian_geographic,«лес» со строчной,,,Не склоняется,"«отдал лес Кхандава», «коснуться леса Кхандава»."
Кхандеша,indian_geographic,,,,,
Кхеджура,indian_geographic,,,,,"Не «Кеджура» — сохранять букву «х»."
Кхела-тиртха,indian_geographic,«тиртха» со строчной,Через дефис,Прямым,Склоняется только вторая часть,
Кхулна,indian_geographic,,,,,
Кхуалана,indian_geographic,,,,,
Кхурда,indian_geographic,,,,,
Кхурда-Роуд,indian_geographic,,Через дефис,,,
Шри Кшетра,indian_geographic,,Через пробел,,,
Кширодака,indian_geographic,,,,,"Океан."
Лохаджангха,indian_geographic,,,,,
Львиные ворота,indian_geographic,Первое слово с прописной,,,,
Магадха,indian_geographic,,,,,"«царство Магадха»."
Мадрадеша,indian_geographic,,,,,
Мадху-Пури,indian_geographic,,Через дефис,,,
Майсур,indian_geographic,,,,,
Майтхила,indian_geographic,,,,,
Майяпур,indian_geographic,,,,,
Малайские горы,indian_geographic,Первое слово с прописной,,,,
Малая,indian_geographic,,,,,"Также: Малая-Парвата."
Малая-Парвата,indian_geographic,,Через дефис,,,
Малдах,indian_geographic,,,,,
Маллаюддха-Стхана,indian_geographic,,Через дефис,,,
Малликарджуна,indian_geographic,,,,,
Мамагачхи,indian_geographic,,,,,"Также: Мамагачхи-грама."
Мамагачхи-грама,indian_geographic,«грама» — не «грам»,Через дефис,,,
Манаса-Ганга,indian_geographic,,Через дефис,,,
Манаса-Саровара,indian_geographic,,Через дефис,,,
Мангалагири,indian_geographic,,Слитно,,,
Мангалор,indian_geographic,,,,,
Мандакини-Ганга,indian_geographic,,Через дефис,,,
Мандара-Парвата,indian_geographic,,Через дефис,,,"Гора в Индии."
Мандарачала,indian_geographic,,,,,
Мани-Парвата,indian_geographic,,Через дефис,,,
Манипур,indian_geographic,,,,,
Мантрешвара,indian_geographic,,,,,
Манча-Стхала,indian_geographic,,Через дефис,,,
Матсья,indian_geographic,,,,,"Также: Матсьядеша, Матхура."
Матсьядеша,indian_geographic,,,,,
Матхура,indian_geographic,,,,,
Махабхутапури,indian_geographic,,,,,
Махавидья,indian_geographic,,,,,
Махендра-Парвата,indian_geographic,,Через дефис,,,
Махендра-Шайла,indian_geographic,,Через дефис,,,
Махеша,indian_geographic,,,,,"Также: Махеша-дхама."
Махеша-дхама,indian_geographic,«дхама» со строчной,Через дефис,Прямым,,
Махешапура,indian_geographic,,,,,
Махешвар,indian_geographic,,,,,
Махишматипур,indian_geographic,,,,,
Махишмати-Пури,indian_geographic,,Через дефис,,,
Миднапур,indian_geographic,,,,,
Митхила,indian_geographic,,,,,
Модадрума,indian_geographic,,,,,
Мунджаранья,indian_geographic,,,,,
Шри Мушнам,indian_geographic,,Через пробел,,,
Набхи-Гая,indian_geographic,,Через дефис,,,
Нава-Вриндаван,indian_geographic,,Через дефис,,,
Навадвипа-дхама,indian_geographic,«дхама» со строчной,Через дефис,Прямым,,
Нава-Тирупати,indian_geographic,,Через дефис,,,
Нагалая,indian_geographic,,,,,
Нагеркойл,indian_geographic,,,,,
Наймишаранья,indian_geographic,,,,,
Найхати,indian_geographic,,,,,
Нандаграма,indian_geographic,«грама» — не «грам»,,,,
Нандишвара,indian_geographic,,,,,
Нарасимха-Кшетра,indian_geographic,,Через дефис,,,
Нараянашрам,indian_geographic,«ашрам» со строчной,,Прямым,,
Нарендра-Саровара,indian_geographic,,Через дефис,,,
Ная-Трипати,indian_geographic,,Через дефис,,,
Нидадабхалу,indian_geographic,,,,,
Нилагири,indian_geographic,,Слитно,,,"Горы."
Нилачала,indian_geographic,,,,,"Может иметься в виду гора, а может — Джаганнатха-Пури."
Нимна-Тирупати,indian_geographic,,Через дефис,,,
Нирвиндхья,indian_geographic,,,,,
Нью-Дели,indian_geographic,Оба слова с прописной,Через дефис,,,"Название мужского рода."
Павана-Саровара,indian_geographic,,Через дефис,,,
Падапур,indian_geographic,,,,,
Паджака-Кшетра,indian_geographic,,Через дефис,,,
Пайошни,indian_geographic,,,,,
Пайтха,indian_geographic,,,,,
Пампа-Саровара,indian_geographic,,Через дефис,,,
Пана-Нрисимха,indian_geographic,,Через дефис,,,
Пандарапур,indian_geographic,,,,,
Паннакуди,indian_geographic,,,,,
Панча-Гауда,indian_geographic,,Через дефис,,,
Панча-Дравида,indian_geographic,,Через дефис,,,
Панчала,indian_geographic,,,,,
Панчанада,indian_geographic,,,,,
Панчанади-гхат,indian_geographic,«гхат» со строчной,Через дефис,Прямым,,
Панчапсара,indian_geographic,,,,,
Патара,indian_geographic,,,,,
Пахадпур,indian_geographic,,,,,
Прабхасакшетра,indian_geographic,,,,,
Прагджьотишапур,indian_geographic,,,,,
Пратиштханапур,indian_geographic,,,,,
Праяг,indian_geographic,,,,,
Праяга-гхат,indian_geographic,«гхат» со строчной,Через дефис,Прямым,,
Праяга-дхама,indian_geographic,«дхама» со строчной,Через дефис,Прямым,,
Праяга-тиртха,indian_geographic,«тиртха» со строчной,Через дефис,Прямым,Склоняется только вторая часть,
провинция Двадцати четырех парган,indian_geographic,«провинция» со строчной,,«парган» — курсивом,,"Последнее слово (парган) — курсивом."
Пурушоттама-Кшетра,indian_geographic,,Через дефис,,,
Пхулия,indian_geographic,,,,,
Раджастханская пустыня,indian_geographic,Первое слово с прописной,,,,
Радха-Кунда,indian_geographic,,Через дефис,,,
Радхадеша,indian_geographic,,,,,
Рама-Храда,indian_geographic,,Через дефис,,,
Рамешвара,indian_geographic,,,,,
Рангакшетра,indian_geographic,,,,,
Ранга-Стхала,indian_geographic,,Через дефис,,,
Раса-Стхали,indian_geographic,,Через дефис,,,
Ратнагири,indian_geographic,,Слитно,,,
Ришабха-Парвата,indian_geographic,,Через дефис,,,
Ришьямука,indian_geographic,,,,,"Также: Ришьямука-Парвата."
Ришьямука-Парвата,indian_geographic,,Через дефис,,,
Рупа-Нараяна,indian_geographic,,Через дефис,,,
Саманта-Панчака,indian_geographic,,Через дефис,,,
Санчадапанчада,indian_geographic,,,,,
Сапта-Годавари,indian_geographic,,Через дефис,,,
Саптаграма,indian_geographic,,,,,
Саранатх,indian_geographic,,,,,
Сахебаданга-Бедиграма,indian_geographic,,Через дефис,,,
Северная Канара,indian_geographic,Оба слова с прописной,,,,
Северная Кошала,indian_geographic,Оба слова с прописной,,,,
Сетубандха,indian_geographic,,,,,"Также: Сетубандха Рамешвара."
Сетубандха Рамешвара,indian_geographic,Оба слова с прописной,Через пробел,,,
Сиддхапур,indian_geographic,,,,,
Симха-Брахма,indian_geographic,,Через дефис,,,
Симхачала,indian_geographic,,,,,
Синдхупрадеша,indian_geographic,,,,,
Синдху-Саувира,indian_geographic,,Через дефис,,,
Скандакшетра,indian_geographic,,,,,
Содапур,indian_geographic,,,,,
Сонакхали,indian_geographic,,,,,
Сорокшетра,indian_geographic,,,,,
Суварна-Мукхи,indian_geographic,,Через дефис,,,
Сукхасагара,indian_geographic,,,,,
Сукхачара,indian_geographic,,,,,
Сундарачала,indian_geographic,,,,,
Талакхади,indian_geographic,,,,,
Тамала-Картика,indian_geographic,,Через дефис,,,
Тамилнаду,indian_geographic,,,,,
Тентулитала,indian_geographic,,,,,
Тила-Канчи,indian_geographic,,Через дефис,,,
Тиндука,indian_geographic,,,,,
Тиртхараджа,indian_geographic,,,,,
Тирукади-Кундам,indian_geographic,,Через дефис,,,
Тирухита,indian_geographic,,,,,
Тиручендур,indian_geographic,,,,,
Тируччираппалли,indian_geographic,,,,,
Тирхутия,indian_geographic,,,,,
Тришабигха,indian_geographic,,,,,
Тунгабхадра,indian_geographic,,,,,
Удджайн,indian_geographic,,,,,
Уттара-Радхья,indian_geographic,,Через дефис,,,
Хаджипур,indian_geographic,,,,,
Хайдарабад,indian_geographic,,,,,
Халисахара,indian_geographic,,,,,
Хампиграма,indian_geographic,,,,,
Хардвар,indian_geographic,,,,,
Харихарапур,indian_geographic,,,,,
Хастинапур,indian_geographic,,,,,
Чайтанья-вата,indian_geographic,,Через дефис,,,
Чамтапур,indian_geographic,,,,,
Чандпур,indian_geographic,,,,,
Чандрагири,indian_geographic,,Слитно,,,
Чанпа-Джхара-грама,indian_geographic,«грама» — не «грам»,Через дефис,,,
Чаттаграма,indian_geographic,,,,,
Чаттрабходж,indian_geographic,,,,,
Чатурдвар,indian_geographic,,,,,
Чатух-Самудрика-Купа,indian_geographic,,Через дефис,,,
Ченганнур,indian_geographic,,,,,
Чикмагалур,indian_geographic,,,,,
Чинаданга,indian_geographic,,,,,
Чола,indian_geographic,,,,,
Чхатрабхога,indian_geographic,,,,,
Чхератала,indian_geographic,,,,,
Чходаганга,indian_geographic,,,,,
Чхота-Нагпур,indian_geographic,,Через дефис,,,
Шайвакшетра,indian_geographic,,,,,
Шри Шайла,indian_geographic,,Через пробел,,,
Шайла-Парвата,indian_geographic,,Через дефис,,,
Шайлапура,indian_geographic,,,,,
Шалиграма,indian_geographic,,,,,
Шанкханагара,indian_geographic,,Слитно,,,
Шива-Ганга,indian_geographic,Обе части с прописной,Через дефис,,,"Вторая часть — имя собственное."
Шивагири,indian_geographic,,Слитно,,,
Шива-Канчи,indian_geographic,С прописной,Через дефис,,,
Шивакшетра,indian_geographic,,,,,
Шивапура,indian_geographic,,,,,
Шраваста-Пури,indian_geographic,,Через дефис,,,
Шрикханда,indian_geographic,,,,,
Шрингавера-Пури,indian_geographic,,Через дефис,,,
Шрингагири,indian_geographic,,Слитно,,,
Южная Арката,indian_geographic,Оба слова с прописной,,,,
Южная Канара,indian_geographic,Оба слова с прописной,,,,
Южная Керала,indian_geographic,Оба слова с прописной,,,,
Южная Матхура,indian_geographic,Оба слова с прописной,,,,
Ягьика-Випра-Стхана,indian_geographic,,Через дефис,,,
Яджапур,indian_geographic,,,,,
Ядупури,indian_geographic,,,,,
Ямешвара,indian_geographic,,,,,
Ятана-вата,indian_geographic,,Через дефис,,,
Яшапур,indian_geographic,,,,,
Яшипур,indian_geographic,,,,,
Яятинагар,indian_geographic,,Слитно,,,
